小区,朝向,行政区,街区,房屋面积,卧室,客厅,厕所,楼层相对位置,楼层,发布时长,每月租金,经度,纬度,1000米内最近地铁站距离,1000米内最近公交车站距离,1000米内购物中心数量,1000米内公司数量,1000米内公园数量,1000米内医院数量,房屋类型,是否朝南
赵家桥小区,南,静安,静安寺,69.39,2,1,1,中楼层,24,4,10000,121.452597,31.23278794,1,1,16,100,3,16,4,1
中山北路570弄,南,静安,西藏北路,25.73,1,0,1,中楼层,6,2,4300,121.4716561,31.2675425,1,1,2,92,0,4,4,1
华润卓越玲珑悦府,南,宝山,罗店,89.25,3,2,2,高楼层,8,1,4500,121.380935,31.41577562,3,2,0,83,0,0,4,1
建中路171弄,南,浦东,张江,85.75,3,1,1,高楼层,6,3,7200,121.620655,31.208514,1,1,1,79,5,0,4,1
和达家园,南,浦东,洋泾,100.8,2,1,1,中楼层,11,6,11000,121.552243,31.2535223,2,1,3,107,1,1,4,1
五岭小区,南,黄浦,打浦桥,34,1,1,1,低楼层,7,8,7600,121.4799635,31.20579781,1,1,10,104,2,8,4,1
控江六村,南,杨浦,黄兴公园,30.08,1,1,1,高楼层,5,3,3500,121.536623,31.2906119,2,1,5,108,10,2,4,1
万科阳光苑,南/北,闵行,吴泾,79.48,2,1,1,低楼层,6,1,4800,121.4767957,31.04413994,2,1,1,68,1,1,4,1
控江五村,南,杨浦,黄兴公园,49.97,2,1,1,高楼层,5,6,5500,121.5366173,31.29349226,1,1,4,92,8,3,4,1
东方悦耀,南,浦东,杨思前滩,73.95,1,2,1,中楼层,36,3,11500,121.489424,31.15600988,1,1,2,81,1,0,4,1
石岚三村,南,普陀,真如,31,1,0,1,高楼层,6,3,4700,121.4287643,31.25796279,2,1,3,89,4,2,4,1
乐山四五村,南,徐汇,徐家汇,48.48,2,1,1,高楼层,7,2,6200,121.4387349,31.20323435,1,1,18,90,6,9,4,1
建国西路25弄,南,黄浦,打浦桥,60,1,1,1,低楼层,1,1,11800,121.4723274,31.21390855,1,1,3,68,5,9,4,1
开城新苑,东南/南,黄浦,五里桥,104.83,2,2,1,高楼层,28,1,13800,121.4833051,31.21219472,1,1,9,77,1,15,4,1
嘉园,西南,静安,静安寺,86.51,1,2,1,高楼层,29,1,13000,121.4422953,31.23060446,1,1,11,94,0,11,4,0
德州四村,南,浦东,世博,32,1,0,1,低楼层,6,1,4800,121.491966,31.173855,2,1,2,82,3,0,4,1
东欣小区,南,浦东,潍坊,65,2,1,1,高楼层,25,7,8000,121.5294423,31.23159025,2,1,18,99,1,1,4,1
富悦财富广场,北,松江,松江大学城,51.28,1,1,1,中楼层,29,7,3800,121.2531547,31.06576823,3,1,2,87,1,4,4,0
竹园新村(浦东),南,浦东,源深,42.98,1,1,1,高楼层,6,1,6200,121.5378868,31.23454167,1,1,4,87,6,3,4,1
阳光城魔都,东/东南,浦东,唐镇,44.23,1,1,1,高楼层,22,2,5800,121.662607,31.220569,1,1,4,65,1,0,4,0
古美小区,南,闵行,古美,33.93,1,1,1,高楼层,6,1,4500,121.405382,31.160827,2,1,2,92,2,3,4,1
延新小区,南/北,静安,闸北公园,48.7,2,1,1,高楼层,6,2,5800,121.4635823,31.27738765,1,1,4,93,2,11,4,1
鹤北新村,南,闵行,老闵行,36.98,1,1,1,高楼层,6,2,3300,121.4252893,31.01735082,1,1,1,78,4,0,4,1
曲阳名邸,西南,虹口,凉城,83.7,2,2,1,低楼层,24,4,7500,121.4881229,31.2930699,1,1,3,113,1,6,4,0
世纪之门,北/东北,普陀,长寿路,29.91,1,0,1,中楼层,23,8,4500,121.4455031,31.25382483,2,1,5,109,5,5,4,0
翠湖天地嘉苑,南,黄浦,新天地,89.71,1,2,1,低楼层,29,1,25000,121.482042,31.22341287,1,1,18,84,10,14,4,1
粤秀苑,南,静安,大宁,41.11,1,1,1,中楼层,6,2,4500,121.4667401,31.29467001,2,1,2,102,1,3,4,1
梅园教师公寓,南,浦东,梅园,54.3,1,1,1,低楼层,12,7,5000,121.529421,31.24624085,1,1,2,108,3,6,4,1
浦城小区,南,浦东,陆家嘴,72.78,3,1,1,高楼层,6,2,8200,121.521573,31.23048,1,1,14,77,2,2,4,1
绿地领海(商业类),北,宝山,上大,55,2,2,1,高楼层,19,7,3500,121.3564889,31.32152712,3,1,0,100,0,0,4,0
西郊华庭,复式,长宁,虹桥,169.95,3,2,3,高楼层,2,7,25000,121.3934868,31.20682153,2,1,2,78,3,2,2,1
金桥路530弄,南,浦东,金杨,77.75,2,1,1,低楼层,6,6,6500,121.580728,31.267273,2,1,5,110,2,3,4,1
大华公寓(静安),南/北,静安,南京西路,28.9,1,1,1,低楼层,7,4,8500,121.466307,31.23680084,1,1,15,73,6,11,4,1
航华一村,南,闵行,航华,75.42,2,1,1,高楼层,6,1,5000,121.358062,31.18069038,3,1,2,71,3,1,4,1
康桥半岛,南,浦东,康桥,161,3,2,3,低楼层,3,1,15000,121.5862999,31.13578277,3,1,0,67,0,3,4,1
保利叶上海(二期),南/北,宝山,顾村,93.85,3,2,2,高楼层,26,1,7000,121.3610629,31.35114089,3,1,1,15,0,0,4,1
茂盛花苑,南,闵行,七宝,47.36,2,1,1,高楼层,6,1,3700,121.3435278,31.17586859,2,1,6,95,0,0,4,1
久耕小区,南/北,虹口,北外滩,53.53,1,1,1,低楼层,6,1,8600,121.4971593,31.25771538,2,1,7,58,5,7,4,1
真北新村三街坊,南,普陀,真如,43.31,3,0,3,低楼层,6,2,5000,121.4060432,31.26163647,2,1,3,85,2,1,4,1
汤臣高尔夫(别墅),复式,浦东,张江,416.82,7,2,5,高楼层,3,2,58000,121.5884834,31.22501347,3,2,0,36,0,0,2,1
大华二村,南/北,宝山,大华,84.84,2,2,1,高楼层,6,7,7300,121.423285,31.27725185,2,1,5,98,2,1,4,1
新天地荻泾花园,南,宝山,顾村,134.92,4,2,2,低楼层,18,1,7000,121.3921299,31.36012562,3,1,0,75,0,0,4,1
东方悦耀,南,浦东,杨思前滩,73.61,1,1,1,高楼层,36,3,11500,121.489424,31.15600988,1,1,2,81,1,0,4,1
梅园二街坊,南,浦东,梅园,54.12,2,1,1,高楼层,6,1,6100,121.5297488,31.24275042,2,1,5,90,3,6,4,1
上南翡翠苑,南,浦东,杨思前滩,73.47,2,1,1,中楼层,5,1,7500,121.501787,31.15639384,1,1,2,92,1,2,4,1
天目中路260号,南,静安,西藏北路,55.07,2,1,1,中楼层,14,9,6800,121.4759381,31.25161455,1,1,2,83,4,13,4,1
虹祺花苑(公寓),南,虹口,四川北路,113.1,2,1,1,中楼层,32,4,11000,121.4855623,31.27041416,1,1,5,79,2,13,4,1
镇宁路465弄,南,长宁,镇宁路,33.87,1,0,1,高楼层,6,3,5800,121.441796,31.229198,1,1,8,87,0,9,4,1
文华苑(虹口),南/北,虹口,凉城,67.91,3,2,1,低楼层,6,4,8000,121.4711721,31.30317418,1,1,2,96,1,1,4,1
阳光城魔都,复式,浦东,唐镇,44.31,1,1,1,低楼层,26,1,6500,121.662607,31.220569,1,1,4,65,1,0,2,1
泗塘三村,南,宝山,张庙,29.5,1,0,1,中楼层,6,3,3600,121.4620067,31.34064135,3,1,1,79,2,2,4,1
上大东村,南,静安,大宁,36.74,1,1,1,高楼层,6,4,3800,121.4664832,31.28409864,2,1,3,87,3,10,4,1
甘泉一村,北,普陀,甘泉宜川,25.97,1,0,1,中楼层,5,1,3600,121.4384654,31.27070491,1,1,3,85,5,4,4,0
东湾小区,南,徐汇,华泾,57.95,2,0,1,高楼层,6,3,5500,121.4653452,31.12903211,1,1,2,41,1,0,4,1
斜土路1218号,南,徐汇,斜土路,31.62,1,1,1,高楼层,7,3,4500,121.4717948,31.20552462,2,1,4,102,0,5,4,1
复旦小区,南,虹口,凉城,39.61,1,1,1,高楼层,6,1,4200,121.4841544,31.30258969,2,1,1,90,1,1,4,1
吴泾新村,南,闵行,吴泾,21,1,0,1,中楼层,5,9,2500,121.4762242,31.05074997,2,1,0,93,2,1,4,1
芷江中路459弄,东南,静安,西藏北路,35.8,2,1,1,高楼层,7,9,4800,121.4761893,31.26521903,1,1,0,90,0,14,4,0
海杨公寓,南,杨浦,东外滩,106.6,2,2,1,低楼层,24,1,9000,121.535411,31.26371186,1,1,1,85,2,8,4,1
钰丰商都,南,松江,泗泾,60.89,2,1,2,低楼层,16,8,3700,121.2931142,31.12588486,3,1,0,108,0,0,4,1
益华小区,南,杨浦,五角场,108.81,2,2,1,中楼层,6,8,9500,121.5232163,31.29232476,1,1,4,100,3,1,4,1
旭辉玫瑰湾,南,青浦,盈浦,88.69,2,2,1,中楼层,14,4,4500,121.1032074,31.17345787,2,1,1,99,1,0,4,1
蒙西小区,南,黄浦,五里桥,30.76,1,1,1,中楼层,6,1,5000,121.4820923,31.21296103,1,1,9,90,1,15,4,1
上南一村,南,浦东,世博,30.19,1,1,1,中楼层,5,8,4500,121.5899196,31.11937525,3,1,1,87,0,4,4,1
柏林春天（二期）,南/北,闵行,莘庄,123.4,3,2,1,高楼层,7,2,7500,121.4008861,31.10618408,2,1,0,90,1,0,4,1
中骏天璟,南,青浦,徐泾,99,3,2,2,低楼层,9,6,11000,121.295031,31.19210483,1,1,0,33,0,1,4,1
中环和乐苑,南,杨浦,周家嘴路,66.63,2,1,1,低楼层,16,1,5500,121.5619233,31.29035184,2,1,0,100,1,0,4,1
水清二村,南,闵行,莘庄,64.15,2,1,1,低楼层,6,1,5600,121.3885891,31.12203938,2,1,2,56,2,0,4,1
徐虹公寓,南,徐汇,徐家汇,69.46,2,1,1,低楼层,6,2,8000,121.4322207,31.19302878,1,1,6,84,3,8,4,1
民生里,南,长宁,中山公园,32.65,1,1,1,低楼层,6,1,5200,121.4098814,31.22175109,1,1,7,83,2,8,4,1
圣天地服务式公寓,西北,普陀,长寿路,32.43,1,1,1,中楼层,23,7,4800,121.4498111,31.2490931,1,1,7,95,4,7,4,0
金地天御,南,青浦,徐泾,237.32,4,2,2,中楼层,8,7,29000,121.2781662,31.16180515,3,2,0,22,0,0,4,1
圣天地服务式公寓,南,普陀,长寿路,32.43,1,1,1,低楼层,23,7,5800,121.4498111,31.2490931,1,1,7,95,4,7,4,1
北城小区,南,浦东,川沙,66.37,2,1,1,高楼层,6,1,3900,121.707646,31.204042,3,1,5,99,3,5,4,1
兰凤新村,南/北,普陀,真如,54.38,2,0,1,中楼层,5,1,5200,121.4306797,31.25512834,2,1,2,88,3,2,4,1
崧雅路77弄,南,青浦,赵巷,158.77,2,1,1,中楼层,13,2,11000,121.4192476,31.20615524,1,1,7,95,2,4,4,1
万宜坊,南,黄浦,新天地,80,2,2,2,高楼层,3,5,18000,121.478082,31.22029688,1,1,16,95,8,9,4,1
上南十村,东南/南,浦东,世博,51,2,1,1,中楼层,6,1,6000,121.5085672,31.17735353,1,1,2,78,3,3,4,1
虹桥博雅苑,南,闵行,华漕,88,2,1,1,低楼层,16,4,4300,121.328149,31.23000704,2,1,0,92,2,0,4,1
长顺路20号,南,长宁,新华路,47.63,2,1,1,中楼层,6,7,5800,121.4250053,31.2039439,1,1,2,76,3,9,4,1
金地天御,南,青浦,徐泾,125.23,2,2,1,高楼层,12,1,8500,121.2781662,31.16180515,3,2,0,22,0,0,4,1
东方悦耀,南/北,浦东,杨思前滩,88.52,2,1,1,高楼层,36,1,15000,121.489424,31.15600988,1,1,2,81,1,0,4,1
华山路736号,南,静安,静安寺,50.48,1,1,1,中楼层,5,1,6200,121.4458537,31.22179841,2,1,2,90,3,11,4,1
华阳路298弄,南,长宁,中山公园,30,1,0,1,低楼层,6,5,5400,121.425329,31.22814282,1,1,8,92,7,6,4,1
四季雅苑(公寓),西,浦东,联洋,152.25,3,2,2,低楼层,9,8,26000,121.575724,31.226382,3,2,1,27,0,1,4,0
新锦港花园,南,青浦,夏阳,136.88,3,2,1,低楼层,6,1,4600,121.124281,31.16355088,2,1,1,85,4,7,4,1
好日子大家园B区,南/北,宝山,顾村,129.53,3,2,2,高楼层,6,7,6500,121.366733,31.358854,2,1,4,55,1,0,4,1
珍宝公寓,南,长宁,仙霞,218.24,5,2,4,高楼层,12,4,25000,121.3951866,31.2174385,1,1,2,84,3,11,4,1
静安新格公寓,南,静安,江宁路,48.71,2,1,1,高楼层,26,6,15000,121.4565205,31.24267138,2,1,3,109,2,15,4,1
管弄四街坊,南,普陀,光新,34.6,1,1,1,高楼层,6,7,4300,121.42924,31.26295985,1,1,2,93,1,2,4,1
临沂六村,南,浦东,南码头,37.57,1,0,1,中楼层,6,1,3800,121.52082,31.1977503,1,1,3,90,3,3,4,1
双柏小区,南,闵行,吴泾,54,2,1,1,高楼层,6,1,3200,121.4785782,31.05099592,2,1,0,95,2,1,4,1
铁路新村(杨浦),南,杨浦,五角场,52.97,2,1,1,高楼层,6,1,5800,121.5222517,31.30474478,1,1,16,85,1,3,4,1
王家堂小区,南,徐汇,徐家汇,35.29,1,0,1,高楼层,6,3,5800,121.4507808,31.19578449,1,1,17,91,3,11,4,1
九庐,南,浦东,梅园,152,2,2,2,高楼层,37,1,49000,121.522312,31.248693,1,1,5,101,1,4,4,1
小木桥路227弄,南,徐汇,斜土路,53.89,2,0,1,高楼层,7,1,7000,121.4645643,31.20439246,2,1,2,92,0,8,4,1
福华花苑,南,徐汇,斜土路,82.76,2,2,1,低楼层,6,1,13000,121.4721983,31.20712646,1,1,5,106,1,6,4,1
浦发绿城浦三路2801弄,南,浦东,三林,51.61,1,1,1,低楼层,6,1,4800,121.5447828,31.16136635,1,1,1,56,2,1,4,1
斜土路2200弄,南,徐汇,徐家汇,96.81,2,1,1,中楼层,4,6,8300,121.4567191,31.19753523,1,1,5,92,2,10,4,1
瑞康苑,南,浦东,三林,69,2,1,1,高楼层,31,3,4500,121.5158053,31.13081076,3,1,1,45,0,0,4,1
锦苑小区(虹口),南,虹口,凉城,59.39,2,1,1,高楼层,6,1,5000,121.475867,31.30039491,1,1,2,84,1,3,4,1
知雅汇(公寓),南/北,松江,九亭,114,3,2,1,高楼层,12,7,6700,121.323852,31.15840582,3,1,3,84,1,0,4,1
德州四村,南,浦东,世博,34.8,1,0,1,中楼层,6,4,4400,121.491966,31.173855,2,1,2,82,3,0,4,1
新申小区,南,虹口,江湾镇,34.18,1,1,1,中楼层,6,1,4000,121.4864823,31.30248438,2,1,1,94,1,0,4,1
上海大楼,南/北,黄浦,南京东路,92,2,1,1,中楼层,5,2,10000,121.4925376,31.24557445,1,1,22,85,4,5,4,1
金虹桥东苑怡和园,南,闵行,金虹桥,48.84,1,1,1,中楼层,13,1,6000,121.3997709,31.18390794,2,1,0,87,1,4,4,1
馨佳园(菊泉街1346弄),南,宝山,顾村,77,2,2,1,高楼层,24,3,4200,121.375453,31.36894,2,1,2,94,0,0,4,1
融创静安映,南/北,静安,大宁,98.22,3,2,2,高楼层,20,1,18000,121.4624122,31.30342608,2,1,1,96,1,0,4,1
龙湖北城天街,南/西,宝山,顾村,58,2,2,1,高楼层,16,6,6600,121.3661567,31.36767037,1,1,2,42,0,0,4,1
莲浦府邸(公寓),南,闵行,七宝,114.8,2,2,2,高楼层,11,2,9000,121.3720287,31.14531494,2,1,2,94,2,0,4,1
尚海湾豪庭(二期）,南,徐汇,徐汇滨江,119.52,2,2,2,高楼层,30,1,35000,121.4677888,31.1870612,2,1,5,80,2,1,4,1
天义小区,南,长宁,中山公园,30.52,1,1,1,低楼层,6,2,4200,121.4139247,31.2177444,1,1,13,88,2,10,4,1
上海豪都国际花园(别墅),复式,青浦,徐泾,212.07,4,2,3,低楼层,2,7,25000,121.283085,31.16947183,3,1,3,50,1,4,2,1
露香苑,南,黄浦,豫园,280.16,4,2,3,低楼层,2,1,98000,121.4917894,31.23121624,1,1,18,102,5,11,4,1
枫林新村,南,徐汇,斜土路,38.82,1,1,1,高楼层,6,8,7500,121.466132,31.197255,1,1,4,94,2,9,4,1
上置美兰优湖,南,宝山,罗店,136,1,1,1,中楼层,16,9,7500,121.357908,31.40822306,1,1,0,77,1,1,4,1
航华一村二街坊,南,闵行,航华,90,3,1,1,中楼层,6,4,9000,121.3592619,31.18124154,3,1,2,72,3,1,4,1
恒达家园,南/北,宝山,共康,88,2,1,1,低楼层,14,2,5600,121.4313648,31.33662495,2,1,1,55,3,1,4,1
广友小区,南,长宁,北新泾,54.35,2,1,1,中楼层,6,4,6500,121.3657545,31.22139696,1,1,1,80,2,3,4,1
爱仁里,东,黄浦,人民广场,27.3,1,1,1,中楼层,4,1,5200,121.4759467,31.24216327,1,1,22,94,4,10,4,0
静安紫苑,东南,静安,南京西路,65.82,1,1,1,低楼层,27,6,12000,121.459686,31.24044285,2,1,14,108,2,12,4,0
梅陇二村,南/北,闵行,梅陇,59.5,2,1,1,低楼层,6,1,4600,121.4170555,31.14070475,2,1,2,84,6,0,4,1
中天碧云,南,浦东,碧云,125.82,3,2,2,高楼层,11,4,16000,121.583259,31.24413489,1,1,3,53,1,0,4,1
华欣家园,南,徐汇,华泾,55.4,2,1,1,高楼层,6,4,5200,121.4673952,31.12581492,1,1,1,38,1,0,4,1
高富丽源,复式,青浦,徐泾,338.97,4,2,4,低楼层,3,2,24800,121.3130228,31.17701793,3,1,1,53,0,0,2,1
上南三村,南,浦东,世博,47.23,2,0,1,高楼层,6,3,5500,121.504848,31.179748,1,1,6,69,4,3,4,1
