小区,朝向,行政区,街区,房屋面积,卧室,客厅,厕所,楼层相对位置,楼层,发布时长,每月租金,经度,纬度,1000米内最近地铁站距离,1000米内最近公交车站距离,1000米内购物中心数量,1000米内公司数量,1000米内公园数量,1000米内医院数量,房屋类型,是否朝南
汇峰鼎园,南,徐汇,斜土路,182.63,4,2,3,低楼层,32,1,30000,121.473226,31.208135,1,1,4,98,1,6,4,1
三迪曼哈顿,南,松江,松江大学城,61,2,1,1,中楼层,24,4,4000,121.253272,31.06321688,3,1,2,88,1,0,4,1
赤峰小区,南,虹口,曲阳,46.82,2,1,1,中楼层,6,2,5200,121.500053,31.28899791,2,1,2,103,1,9,4,1
上海青年城,南/北,松江,九亭,35.25,1,1,1,中楼层,16,1,4300,121.3258509,31.1433417,1,1,2,79,1,1,4,1
久阳文华府邸(公寓),南/北,松江,松江新城,89,3,1,2,高楼层,10,9,5800,121.199819,31.04718204,3,1,0,54,0,0,4,1
兆丰花园,南,长宁,中山公园,163.73,3,2,2,中楼层,40,1,32000,121.4256766,31.22363621,1,1,9,66,9,8,4,1
控江路1200弄,南,杨浦,控江路,32.66,1,1,1,中楼层,5,1,4000,121.5523642,31.29379328,3,1,2,106,2,3,4,1
金地天地云墅,南,宝山,顾村,132.2,3,2,2,低楼层,7,5,8500,121.3979848,31.36889443,3,1,0,41,0,0,4,1
富悦财富广场,北,松江,松江大学城,47.28,1,1,1,低楼层,29,4,2350,121.2531547,31.06576823,3,1,2,87,1,4,4,0
宝宸共和家园,南,宝山,共康,73.48,3,2,2,高楼层,16,4,8800,121.4444568,31.33881048,1,1,2,79,4,1,4,1
海棠馨苑南区,南,青浦,徐泾,49.27,1,1,1,低楼层,11,2,2400,121.2497963,31.18565697,2,1,1,29,1,1,4,1
三乐新村,南,静安,江宁路,33.03,1,1,1,中楼层,6,3,5000,121.4580246,31.24524071,2,1,4,104,2,8,4,1
花溪园,南/北,普陀,曹杨,103.62,2,2,1,高楼层,8,8,11000,121.4156652,31.24446956,1,1,6,95,4,2,4,1
上置美兰优湖,东南,宝山,罗店,52,1,1,1,中楼层,16,9,3000,121.357908,31.40822306,1,1,0,77,1,1,4,0
梅园新村(浦东),南,浦东,梅园,54.16,2,1,1,中楼层,6,1,6650,121.5290927,31.2430367,1,1,7,89,3,7,4,1
康乐花园(闵行),南,闵行,老闵行,68.3,2,1,1,低楼层,5,3,4500,121.4168432,31.00817811,2,1,1,79,2,5,4,1
罗山花苑,南,浦东,碧云,72.09,2,2,1,低楼层,6,1,11000,121.5824732,31.23996544,2,1,2,34,0,1,4,1
绿地香颂(奉贤)(公寓),南,奉贤,海湾,62,2,1,1,低楼层,8,9,2000,121.518213,30.832417,3,1,0,15,0,0,4,1
久阳文华府邸(公寓),南,松江,松江新城,67.76,2,1,2,高楼层,15,6,3600,121.199819,31.04718204,3,1,0,54,0,0,4,1
罗山六村,南,浦东,金杨,71.39,2,2,1,高楼层,6,3,6500,121.566749,31.253907,1,1,3,96,3,2,4,1
丽园路642号,南,黄浦,五里桥,35.19,1,1,1,高楼层,6,1,6500,121.4867968,31.21293486,1,1,7,76,1,19,4,1
嘉丰佳苑,南,嘉定,嘉定老城,189.25,4,2,2,高楼层,6,1,5500,121.2426687,31.37805371,2,1,0,93,1,3,4,1
五原路96弄,南,徐汇,衡山路,25,1,1,1,低楼层,3,2,4900,121.4536963,31.21947025,1,1,2,100,3,17,4,1
涞港星苑,南,闵行,华漕,68.87,2,1,2,低楼层,14,6,5000,121.3072481,31.20641885,3,1,1,96,0,1,4,1
眉州路100弄,南/北,杨浦,东外滩,61.85,3,0,1,中楼层,7,6,6800,121.545044,31.264533,2,1,2,116,0,8,4,1
朗诗绿岛(公寓),南,宝山,罗店,110.98,3,2,1,中楼层,7,1,10500,121.355432,31.41133887,1,1,1,89,0,8,4,1
鞍山六村,南,杨浦,鞍山,32.49,1,0,1,中楼层,5,6,3800,121.5117734,31.27971545,1,1,5,79,3,6,4,1
东外滩1号,东/南,杨浦,周家嘴路,93.06,2,2,1,低楼层,28,3,10000,121.56179,31.28025,2,1,1,106,1,2,4,1
地产尚海郦景,南/北,浦东,梅园,192.35,4,2,3,低楼层,30,3,31000,121.5876467,31.24496339,1,1,2,36,1,0,4,1
延安中路955弄,南,静安,静安寺,51.24,2,1,1,中楼层,6,1,10000,121.4583317,31.22860137,1,1,26,92,5,17,4,1
新城上坤樾山美墅,复式,松江,泗泾,175,8,2,5,低楼层,3,3,15000,121.245446,31.10688988,2,1,2,22,0,0,2,1
大宁金茂府,南,静安,大宁,158.99,3,2,2,中楼层,22,5,30000,121.4628567,31.29283253,2,1,1,91,0,3,4,1
绿地北郊广场(商铺),南/北,宝山,顾村,56,2,2,1,中楼层,9,6,4000,121.3852216,31.36324034,3,1,0,104,1,2,4,1
国和一村,南,杨浦,中原,54.53,2,1,1,中楼层,6,1,6300,121.5356127,31.32240297,1,1,8,72,2,13,4,1
龙南三四村,南,徐汇,龙华,67.79,2,1,1,中楼层,7,9,6500,121.4441253,31.18982281,1,1,9,91,1,3,4,1
爱庐世纪新苑,南,闵行,颛桥,86.09,2,1,1,中楼层,11,6,5500,121.4276228,31.08556484,1,1,1,92,2,1,4,1
静安别墅,南,静安,南京西路,70,1,2,1,高楼层,3,4,8300,121.464673,31.23377986,1,1,18,63,6,17,4,1
园南新村,南,徐汇,植物园,77.9,3,1,1,高楼层,6,1,7500,121.446097,31.14705387,3,1,1,100,0,1,4,1
水语人家南苑,南,闵行,闵浦,72.93,3,2,2,高楼层,6,7,5200,121.5386888,31.05111581,1,1,2,14,0,0,4,1
光明九胤,南/北,奉贤,南桥,85.67,3,2,1,高楼层,16,1,4000,121.4941137,30.96253085,3,1,0,73,0,1,4,1
龙湖北城天街,南,宝山,顾村,50.19,1,1,1,低楼层,24,7,3200,121.3661567,31.36767037,1,1,2,42,0,0,4,1
人生港湾南欧城,南,浦东,惠南,126.96,2,2,1,低楼层,10,7,3400,121.7764137,31.04635102,3,1,0,110,0,5,4,1
宝龙城市广场(奉贤),南,奉贤,南桥,43.09,1,1,1,高楼层,16,7,2200,121.4689401,30.93625545,1,1,3,93,1,2,4,1
财富海景花园,南,浦东,陆家嘴,292.12,4,2,3,低楼层,39,1,60000,121.5155216,31.23159727,2,1,12,78,1,0,4,1
宜川三村,南,普陀,甘泉宜川,33.99,1,0,1,中楼层,5,9,4200,121.4491744,31.26443909,1,1,0,85,3,1,4,1
莘松五村,南,闵行,莘庄,39.07,1,1,1,高楼层,6,1,3900,121.3755923,31.11311353,2,1,5,61,3,1,4,1
汇德锦苑,南,浦东,三林,60,1,1,1,高楼层,17,2,5070,121.5380416,31.13352967,3,1,0,36,0,0,4,1
BPC陆家嘴创业街区,南/北,浦东,洋泾,49.97,2,1,1,中楼层,17,8,12500,121.564283,31.24002086,1,1,6,93,1,2,4,1
管弄三街坊,南,普陀,光新,41.53,1,1,1,中楼层,6,4,4400,121.4293644,31.26076067,1,1,2,96,1,2,4,1
虹桥正荣府,南,青浦,徐泾,126.18,3,2,1,高楼层,15,1,10500,121.288664,31.163457,3,1,0,58,0,2,4,1
乐活居,东/东南,普陀,长寿路,63.42,2,1,1,高楼层,25,3,10000,121.4453635,31.25229294,2,1,6,111,4,5,4,0
五原路249号,南,徐汇,衡山路,13,1,0,1,低楼层,2,5,5500,121.4507163,31.21849005,1,1,1,100,3,15,4,1
中星海上名豪苑(三期),南,嘉定,江桥,64,1,1,1,中楼层,18,7,3700,121.3363253,31.2720412,1,1,0,108,0,2,4,1
好世鹿鸣苑,南,闵行,莘庄,66.85,1,1,1,中楼层,17,9,7000,121.390722,31.11108195,2,1,5,91,3,2,4,1
春江锦庐,南,闵行,古美,115.46,3,2,1,中楼层,6,2,9800,121.3925264,31.13781389,2,1,0,103,2,1,4,1
绿宝园,复式,浦东,康桥,382.01,4,3,4,低楼层,2,1,65000,121.57028,31.136825,2,2,1,96,0,0,2,1
远洋金融街,南,青浦,盈浦,93.84,3,2,2,中楼层,12,1,5500,121.109478,31.16796683,2,1,1,100,1,1,4,1
金桥瑞仕花园,南/北,浦东,金杨,387.06,5,3,3,低楼层,4,4,48000,121.583114,31.262021,2,1,7,96,2,2,4,1
新陆花苑,南,虹口,临平路,47,1,1,1,低楼层,24,9,6800,121.499917,31.272381,1,1,3,89,0,4,4,1
虹桥茗雅苑,南,闵行,华漕,60,2,1,1,高楼层,16,6,4000,121.273636,31.222514,2,1,0,42,0,5,4,1
上炼三村,南,浦东,外高桥,42.14,2,1,1,高楼层,6,4,3200,121.580209,31.34371686,3,1,1,97,1,2,4,1
银都新村(1至7区),南,闵行,颛桥,56.65,2,1,1,中楼层,6,4,4508,121.4008126,31.0999848,2,1,1,85,2,1,4,1
长桥二村,南/北,徐汇,长桥,49.94,2,1,1,中楼层,5,5,5800,121.4474705,31.14306276,2,1,1,93,0,6,4,1
五浦汇B区崧子苑,南,青浦,盈浦,76.77,2,1,1,低楼层,18,9,3100,121.091073,31.15164598,3,1,0,11,0,0,4,1
新平金叶公寓,南,静安,曹家渡,97.73,2,1,1,低楼层,24,3,9500,121.4470925,31.23399094,1,1,11,99,3,15,4,1
东方听潮豪园,南,浦东,惠南,56.7,1,1,1,低楼层,11,7,2200,121.7472036,31.04559858,3,1,1,97,0,1,4,1
大华锦绣华城(十七街区)(公寓),南,浦东,北蔡,167.22,4,2,2,中楼层,16,8,26000,121.539298,31.18325785,2,1,3,60,2,1,4,1
北宝兴路345弄,南,虹口,凉城,62.16,2,1,1,高楼层,6,1,6000,121.4703445,31.28169554,2,1,1,87,3,4,4,1
中凯城市之光(静安),南/北,静安,南京西路,74.76,1,1,1,高楼层,26,4,16000,121.471878,31.232799,1,1,25,106,7,9,4,1
象屿郦庭,南/北,宝山,高境,81.01,2,2,1,低楼层,13,1,7000,121.4841788,31.33518047,2,1,1,89,0,0,4,1
斜土路338-368号,南,黄浦,五里桥,33.08,1,1,1,高楼层,7,3,5500,121.4915856,31.23724715,1,1,35,109,5,9,4,1
中福世福汇,东,黄浦,南京东路,59,1,1,1,中楼层,31,7,9000,121.4911972,31.23802438,2,1,34,106,5,10,4,0
华浜新村,南,宝山,淞南,42.65,1,1,1,中楼层,6,1,3200,121.5007339,31.3555994,2,1,0,75,0,0,4,1
绿地泾南公寓,南/北,浦东,洋泾,99.95,4,2,1,高楼层,6,1,9500,121.5581848,31.23634595,1,1,4,87,1,3,4,1
西郊河畔家园,南,闵行,华漕,90,2,2,1,高楼层,6,5,6000,121.297015,31.217628,3,1,2,69,1,4,4,1
瑞金新苑,南,黄浦,新天地,135.02,3,2,2,中楼层,28,7,19200,121.4809365,31.21517385,1,1,7,94,4,12,4,1
东苑利景花苑,南,闵行,莘庄,167.31,3,2,2,中楼层,9,4,9000,121.3972275,31.11792053,1,1,1,91,1,1,4,1
花江公寓,南,虹口,曲阳,76.16,3,1,1,低楼层,5,3,8500,121.5062621,31.29825866,1,1,1,96,2,4,4,1
斜土路2200弄,东,徐汇,徐家汇,38.47,1,0,1,中楼层,4,1,4200,121.4567191,31.19753523,1,1,5,92,2,10,4,0
星海家园,南,浦东,曹路,53,1,1,1,高楼层,24,1,4500,121.685589,31.288361,3,1,1,28,0,0,4,1
淮海中路1590弄,东南,徐汇,衡山路,32.9,1,0,1,低楼层,3,3,8000,121.450811,31.21510884,1,1,2,90,4,13,4,0
誉品谷水湾,南,松江,松江大学城,216.58,3,2,2,低楼层,17,5,15000,121.2316421,31.06362721,2,1,1,21,1,0,4,1
虹桥机场新村,南/北,长宁,西郊,58.49,2,1,1,高楼层,6,3,4500,121.3594112,31.19051996,2,1,0,110,0,1,4,1
松南城金欣雅苑,南,松江,车墩,98.54,3,1,1,高楼层,18,1,2000,121.2515066,30.99293762,3,1,0,15,0,0,4,1
泉灵小区,南,静安,彭浦,42.88,1,1,1,中楼层,6,1,4100,121.447495,31.31603111,2,1,0,98,3,10,4,1
银鑫大楼,东,长宁,中山公园,49.58,1,1,1,高楼层,26,1,5900,121.4323364,31.23202763,2,1,10,96,4,4,4,0
虹桥路1031号,南,长宁,虹桥,50,1,1,1,低楼层,26,6,7000,121.419828,31.20339767,1,1,4,82,1,5,4,1
巨西小区,南,浦东,梅园,53.95,2,1,1,高楼层,6,7,5000,121.551974,31.24588,2,1,3,97,1,4,4,1
通河一村,南,宝山,张庙,40.45,1,1,1,高楼层,6,1,4200,121.4550589,31.34182506,2,1,1,88,2,4,4,1
万乐城(商业类),南,闵行,吴泾,28.75,1,1,1,高楼层,18,6,2900,121.4521527,31.04491722,1,1,2,43,0,0,4,1
新中小区,南,长宁,中山公园,51.15,2,1,1,高楼层,5,1,6300,121.4356258,31.22270755,1,1,6,75,4,14,4,1
新城盛景园,南,青浦,夏阳,88.97,3,2,1,中楼层,11,1,4900,121.157817,31.16553088,1,1,1,69,0,0,4,1
阳景小区,南/北,静安,彭浦,46.87,2,1,1,高楼层,6,1,4500,121.464343,31.32469286,3,1,0,98,1,0,4,1
桃浦二村永汇新苑,南,普陀,桃浦,75.41,2,1,1,中楼层,5,7,5500,121.358531,31.28388289,1,1,2,90,0,0,4,1
都市花苑,南/北,宝山,淞南,109,2,2,2,高楼层,6,6,6000,121.4839973,31.34334376,1,1,4,87,2,0,4,1
虹一小区,南,长宁,虹桥,44.64,2,1,1,中楼层,6,4,5800,121.4197151,31.20430884,1,1,5,78,1,6,4,1
德州四村,南,浦东,世博,51,2,1,1,高楼层,6,2,5500,121.491966,31.173855,2,1,2,82,3,0,4,1
金沙嘉苑,南/北,嘉定,丰庄,128.17,3,2,2,高楼层,12,2,12000,121.3589112,31.25120496,1,1,0,40,1,1,4,1
潍坊八村,南,浦东,潍坊,28.2,1,1,1,低楼层,6,1,5200,121.5349701,31.22551944,1,1,4,93,3,0,4,1
市政大楼,南,浦东,梅园,47.83,1,1,1,中楼层,18,2,8800,121.530861,31.238665,1,1,16,78,4,7,4,1
三花现代城(二期香梅苑),南/北,宝山,高境,138.25,3,1,2,中楼层,17,3,11500,121.4812848,31.32455559,2,1,3,93,3,2,4,1
高华小区,南,闵行,老闵行,48.11,2,0,1,中楼层,5,2,3000,121.4286252,31.00918395,1,1,1,94,2,1,4,1
香溢天地官邸,南,普陀,光新,90,2,1,1,中楼层,29,5,14000,121.444519,31.261916,1,1,0,99,3,0,4,1
丰庄二村,南/北,嘉定,丰庄,82,3,1,1,中楼层,6,2,5500,121.371066,31.25133485,2,1,4,94,1,2,4,1
隆德小区,南,普陀,武宁,71.49,2,1,1,低楼层,12,8,8000,121.428553,31.2354019,1,1,9,97,2,1,4,1
田林十二村,南,徐汇,田林,47.7,2,0,1,高楼层,6,1,5700,121.4349789,31.178389,2,1,4,80,2,10,4,1
新家坡美树馆,东南/南,徐汇,建国西路,140.53,3,2,2,中楼层,37,8,24000,121.467632,31.210624,1,1,5,107,2,11,4,1
阳光葡提公馆,南,嘉定,嘉定新城,61.91,2,1,1,中楼层,25,1,3300,121.2954904,31.33706771,3,1,3,102,0,0,4,1
武夷花园,南,长宁,中山公园,185.92,3,2,2,高楼层,12,5,14500,121.422169,31.21819667,1,1,11,92,6,10,4,1
殷行路571弄,南,杨浦,中原,41.45,1,1,1,高楼层,6,1,4300,121.540101,31.3342429,2,1,0,83,1,3,4,1
张江三湘海尚,南,浦东,张江,162.63,3,2,2,高楼层,18,1,20000,121.6293002,31.17654676,2,1,0,48,0,0,4,1
金杨新村八街坊,南,浦东,金杨,80.24,2,1,1,高楼层,24,1,6200,121.590714,31.251511,2,1,4,84,1,1,4,1
文缘村,南,长宁,新华路,81.47,3,1,1,高楼层,5,2,10000,121.4307558,31.20897751,2,1,3,97,7,7,4,1
东川花苑,南,闵行,老闵行,37.13,1,1,1,低楼层,6,6,2950,121.4324509,31.02227281,1,1,1,99,2,1,4,1
阳城花园,南/北,静安,阳城,132.06,3,2,2,高楼层,11,3,11000,121.4297324,31.28972703,1,1,3,77,1,2,4,1
梅陇四村,南,徐汇,华东理工,67.89,1,1,1,中楼层,23,6,5000,121.4277736,31.14278243,2,1,4,93,3,1,4,1
爱博六村,南/北,闵行,华漕,127,3,2,2,低楼层,13,3,8600,121.3140122,31.22495195,3,1,1,78,0,0,4,1
江悦名庭,南,浦东,杨思前滩,64,1,1,1,高楼层,21,3,11000,121.4865048,31.1545915,2,1,0,50,1,1,4,1
港机新村,南,浦东,南码头,35.78,1,1,1,高楼层,6,2,3800,121.5147384,31.19681096,1,1,3,77,1,2,4,1
兆地生活广场,南,嘉定,丰庄,51.16,1,1,1,中楼层,14,6,3800,121.368373,31.258149,1,1,6,103,0,2,4,1
控江五村,北,杨浦,黄兴公园,36.06,1,1,1,中楼层,5,8,4300,121.5366173,31.29349226,1,1,4,92,8,3,4,0
凤城二村,南,杨浦,控江路,38.23,1,1,1,中楼层,6,2,3900,121.524323,31.284046,1,1,3,76,2,8,4,1
万荣小区,南,静安,阳城,44,2,1,1,中楼层,6,2,5500,121.4393211,31.23528017,1,1,7,99,0,7,4,1
申亚新华府,南,长宁,新华路,189.59,3,2,2,中楼层,30,1,25000,121.4270999,31.2120057,2,1,2,115,3,8,4,1
联洋花园(一期),南,浦东,联洋,111,2,2,2,低楼层,11,3,16500,121.5637213,31.23191053,2,1,5,89,2,2,4,1
蓝色港湾(公寓),南,闵行,古美,98.4,3,1,1,中楼层,5,2,9000,121.3929331,31.15320215,2,1,2,40,1,0,4,1
新丰小区,南,静安,江宁路,55.83,2,0,1,中楼层,7,4,7000,121.4463128,31.24328208,1,1,7,105,2,14,4,1
万科翡翠雅宾利,南,静安,西藏北路,182.18,3,2,3,中楼层,31,8,36000,121.4785614,31.26358044,2,1,2,100,0,12,4,1
阳光城新界,南,嘉定,嘉定新城,80.68,2,2,1,高楼层,27,1,4000,121.2627967,31.35709599,3,1,5,87,1,5,4,1
虹日小区,南/北,长宁,虹桥,59.85,2,2,1,高楼层,6,1,6300,121.397445,31.2072029,1,1,2,77,3,3,4,1
车站新村(普陀),南/北,普陀,真如,74.12,2,2,1,高楼层,6,6,6000,121.408467,31.266482,1,1,2,83,2,1,4,1
嘉骏花苑,南/北,宝山,高境,68.54,2,1,1,低楼层,6,1,5800,121.4805218,31.33546763,2,1,0,98,1,0,4,1
万顺水原墅,南,闵行,颛桥,94.25,2,2,2,低楼层,12,1,4500,121.422636,31.04874187,2,1,1,103,1,0,4,1
成亿宝盛家苑,南,宝山,顾村,73.97,2,1,1,低楼层,6,6,5500,121.4206152,31.36155399,3,1,0,89,0,1,4,1
前卫新村,南,崇明,长兴岛,43.52,2,1,1,中楼层,5,4,3200,121.728297,31.393504,1,1,0,26,1,1,4,1
维罗纳贵都,南,松江,松江老城,35,1,1,1,中楼层,6,2,1900,121.211675,31.02258,3,3,5,73,0,0,4,1
新湖青蓝国际,南,静安,西藏北路,85,2,2,1,中楼层,30,3,18000,121.4795613,31.26953231,1,1,2,96,0,11,4,1
同心城,南,虹口,凉城,98.28,2,1,1,高楼层,6,3,8500,121.4797798,31.27557359,2,1,1,91,1,8,4,1
华丽家族花园,南,浦东,联洋,155,3,2,2,中楼层,22,6,22000,121.5642302,31.22984084,2,1,5,92,4,0,4,1
祥康里,南,黄浦,人民广场,36.74,2,0,1,高楼层,7,5,7500,121.4750794,31.23862067,2,1,19,87,7,9,4,1
东安四村,南,徐汇,徐家汇,61.93,2,1,1,中楼层,5,4,7500,121.4566631,31.19266118,2,1,7,104,2,8,4,1
太原路18弄,南,徐汇,建国西路,40,1,1,1,低楼层,6,6,9900,121.4563359,31.2165778,1,1,3,90,4,16,4,1
新华红星国际广场,西,闵行,龙柏,78,2,2,2,中楼层,9,4,10800,121.378996,31.18067486,1,1,14,81,3,3,4,0
樱花坊,南,浦东,花木,77.49,2,1,1,高楼层,6,2,8500,121.5588446,31.21410026,1,1,5,75,5,1,4,1
幸福第二公寓,南,静安,永和,69.2,1,2,1,高楼层,6,2,6000,121.444942,31.30916888,3,1,0,108,2,4,4,1
万达广场(松江),南,松江,松江大学城,56.5,1,1,1,中楼层,19,6,3400,121.2495681,31.06390507,3,1,3,77,1,1,4,1
电力公寓,南,普陀,长寿路,130.22,3,1,2,高楼层,6,1,13000,121.4415522,31.24986328,1,1,6,99,4,5,4,1
湘源大厦,北,宝山,淞南,40,2,0,1,中楼层,12,6,4500,121.4857474,31.35100597,1,1,4,101,4,1,4,0
共和新路970弄,南,静安,不夜城,45,1,1,1,中楼层,6,9,4200,121.46784,31.265309,1,1,3,87,0,8,4,1
莘城公寓,南,闵行,莘庄,107.07,2,2,1,高楼层,18,4,6400,121.400286,31.11271485,2,1,1,85,1,1,4,1
保利西子湾,南,松江,松江大学城,90.85,2,2,1,低楼层,11,1,5300,121.241312,31.06680284,2,1,3,62,0,1,4,1
嘉秀新苑,南,嘉定,丰庄,89.5,2,2,1,高楼层,20,1,7200,121.3735428,31.26138305,1,1,6,85,0,2,4,1
明园森林都市,南,静安,大宁,95.62,2,1,1,中楼层,34,3,8500,121.460433,31.2951469,2,1,1,88,1,1,4,1
上南五村,南,浦东,世博,46.6,2,0,1,低楼层,6,2,6600,121.5051985,31.18418899,1,1,9,73,1,2,4,1
伊泰利大厦,东/东南/南,徐汇,建国西路,107.71,2,2,2,高楼层,24,1,16000,121.4615786,31.20821742,2,1,2,113,1,8,4,1
江宁大楼,南/北,静安,南京西路,95.79,2,1,1,低楼层,12,6,12000,121.4615331,31.23573205,1,1,19,91,2,17,4,1
恒盛湖畔豪庭,南,奉贤,南桥,89.46,2,2,1,高楼层,6,2,1980,121.497161,30.93367186,1,1,0,40,1,0,4,1
绿地云峰名邸(公寓),南,松江,松江大学城,82.76,2,2,1,低楼层,11,7,4300,121.1913427,31.05307675,3,1,0,31,0,0,4,1
绿中海明苑四期(公寓),南,青浦,徐泾,89,2,1,2,高楼层,9,3,6000,121.266002,31.180255,2,1,1,72,0,0,4,1
紫堤苑,南,闵行,华漕,94.73,2,2,1,高楼层,6,1,6290,121.3043191,31.21262656,3,1,2,70,0,0,4,1
大华颐和华城(公寓),南/北,普陀,万里,96.28,2,2,1,中楼层,6,2,7000,121.4077184,31.28039734,2,1,0,93,1,0,4,1
新华红星国际广场,南,闵行,龙柏,40,1,1,1,高楼层,9,1,9000,121.378996,31.18067486,1,1,14,81,3,3,4,1
创世纪花园,南/北,徐汇,徐家汇,116.54,2,1,1,中楼层,14,1,17000,121.3847395,31.2115683,3,1,1,103,0,6,4,1
锦馨苑,南,徐汇,田林,68.79,2,1,1,高楼层,6,6,7000,121.4223289,31.19610644,2,1,3,92,1,8,4,1
四和花园,南,静安,曹家渡,50,1,1,1,中楼层,25,1,7000,121.4476677,31.23357738,1,1,11,97,3,16,4,1
虹庐湾,南,闵行,华漕,99,3,2,2,中楼层,14,2,11000,121.2761504,31.22236153,2,1,0,53,0,2,4,1
华悦家园,南/北,徐汇,漕河泾,87.59,2,1,1,中楼层,35,1,9800,121.4160135,31.17142806,1,1,2,99,3,1,4,1
信达泰禾上海院子,南,杨浦,新江湾城,224.24,3,2,2,低楼层,1,3,19500,121.5171741,31.32741339,1,1,1,83,1,0,4,1
新凯一期,南/北,松江,泗泾,92,3,2,1,中楼层,6,4,5500,121.2406621,31.11247122,1,1,1,18,0,0,4,1
达安锦园,南,静安,江宁路,106.3,2,2,2,中楼层,16,6,15500,121.448601,31.24436189,1,1,6,76,2,13,4,1
锦龙苑,南,宝山,上大,47.28,1,1,1,低楼层,6,3,3800,121.385661,31.31877942,2,1,4,32,0,0,4,1
华龙大酒店,西北,静安,不夜城,42.44,1,1,1,中楼层,16,1,4000,121.458618,31.26202487,2,1,3,107,1,4,4,0
华园,南,长宁,古北,120.65,3,2,2,高楼层,8,1,23000,121.399147,31.19888987,2,1,3,86,2,3,4,1
前滩东方惠礼,南/北,浦东,杨思前滩,71,1,1,1,低楼层,15,1,11800,121.484444,31.16528299,2,1,1,71,1,0,4,1
海富公寓,南,长宁,新华路,80.45,2,1,1,低楼层,24,2,11000,121.4334185,31.2114931,2,1,2,87,5,6,4,1
兰园小区,南,浦东,陆家嘴,53.05,3,1,1,低楼层,6,1,9000,121.5200029,31.23056293,1,1,13,79,2,2,4,1
锦华花园,南,浦东,北蔡,108.82,2,2,1,中楼层,5,7,10000,121.54518,31.191845,1,1,2,60,4,3,4,1
中星海上景庭,东/南,浦东,洋泾,130,3,2,2,中楼层,18,2,18000,121.555012,31.245239,1,1,2,93,1,4,4,1
平吉二村,南,闵行,古美,72.13,2,1,1,高楼层,6,2,5500,121.3877324,31.14904898,2,1,1,36,3,0,4,1
崇业小区,南,杨浦,东外滩,32.67,1,1,1,低楼层,6,4,5500,121.543654,31.2622813,2,1,2,108,0,8,4,1
中环大厦,西南,普陀,武宁,48,1,1,1,高楼层,25,1,5200,121.443509,31.24661488,1,1,6,87,2,5,4,0
东泉小区,南,徐汇,植物园,49,1,1,1,高楼层,6,1,4000,121.4516199,31.1623765,1,1,0,109,0,1,4,1
通河二村,南,宝山,通河,39.36,1,1,1,高楼层,6,6,3600,121.4568973,31.33973845,2,1,2,88,2,4,4,1
陆家嘴锦绣前城,南,浦东,北蔡,122,3,2,2,低楼层,24,7,15500,121.5406,31.201036,2,1,1,85,1,1,4,1
中环大厦,南,普陀,武宁,47.33,1,1,1,高楼层,25,6,4800,121.443509,31.24661488,1,1,6,87,2,5,4,1
大华锦绣华城(十九街区)(公寓),南,浦东,北蔡,91.64,4,2,2,高楼层,6,7,9800,121.546588,31.181711,1,1,3,55,2,0,4,1
远中风华园(公寓),南,静安,南京西路,71.42,1,2,1,中楼层,8,6,17000,121.4627454,31.23972925,2,1,15,102,3,18,4,1
金地都会艺境(松江),南/北,松江,莘闵别墅,92.67,3,2,1,中楼层,17,6,6000,121.353427,31.08250389,3,1,1,50,0,0,4,1
招商虹桥华府,南/北,青浦,徐泾,81.74,2,2,1,高楼层,13,1,6500,121.3150712,31.17759854,3,1,1,57,0,0,4,1
大华锦绣华城(十六街区)(公寓),南/北,浦东,北蔡,153.4,4,2,2,低楼层,20,2,19000,121.5375182,31.18103393,1,1,3,68,1,1,4,1
九城湖滨国际,南/北,松江,九亭,123,3,2,2,低楼层,14,1,7200,121.3253615,31.15572897,3,1,2,65,1,0,4,1
兴盛公寓,南,徐汇,衡山路,170.58,3,2,2,高楼层,8,8,61000,121.4457444,31.21696685,2,1,0,91,6,15,4,1
钦州花苑,南,徐汇,田林,74.37,2,1,1,低楼层,29,2,7400,121.4330029,31.18414945,2,1,5,107,2,4,4,1
灵新小区,南,虹口,凉城,33.54,1,0,1,中楼层,6,4,4200,121.4859254,31.29396484,1,1,3,109,1,6,4,1
富林苑(三期),南,闵行,莘庄,95.44,2,2,1,低楼层,14,7,7000,121.372018,31.12587558,3,1,1,76,0,3,4,1
崂山新村,南/北,浦东,梅园,38.24,2,1,1,低楼层,6,1,5500,121.525299,31.244659,1,1,7,91,3,5,4,1
新江湾戎德苑,南/北,杨浦,新江湾城,141.35,3,2,2,低楼层,17,2,10000,121.5254993,31.32373999,3,1,9,86,1,1,4,1
泰兴路362弄,南,静安,南京西路,37,2,0,1,中楼层,4,1,6500,121.463868,31.238808,1,1,15,93,3,19,4,1
佳宁花园,南/北,静安,大宁,108.03,2,2,1,中楼层,8,7,10200,121.442437,31.27883788,1,1,1,82,9,4,4,1
银河丽湾,南,奉贤,南桥,172.73,4,2,3,低楼层,25,1,5400,121.4998876,30.92261996,1,1,6,82,1,0,4,1
虹储小区,南,长宁,虹桥,62,2,1,1,中楼层,5,4,8300,121.4184943,31.20480789,1,1,5,79,1,5,4,1
中华别墅,南,长宁,虹桥,100,3,1,1,中楼层,6,1,14750,121.4149026,31.20509197,1,1,6,100,2,5,4,1
